"cmss.element_nr","bez","x","y"
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383625,5829225
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384275,5829675
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384275,5829725
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384325,5829725
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384325,5829775
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384325,5829825
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384125,5829475
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384125,5829525
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384175,5829525
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384175,5829575
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384225,5829575
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384225,5829625
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384275,5829625
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383925,5829325
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383975,5829325
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384025,5829325
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384025,5829375
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384075,5829375
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384075,5829425
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",384125,5829425
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383625,5829275
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383675,5829275
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383725,5829275
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383725,5829325
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383775,5829325
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383825,5829325
"38640001_39640055.01","Hermsdorfer Damm (östl. A111) (Tegel, 13507)",383875,5829325
"49510043_49510044.02","Elsenstraße (nördl. Heidelberger Straße) (Neukölln, 12435)",394825,5816325
"49510043_49510044.02","Elsenstraße (nördl. Heidelberger Straße) (Neukölln, 12435)",394875,5816325
"49510043_49510044.02","Elsenstraße (nördl. Heidelberger Straße) (Neukölln, 12435)",394875,5816375
"49510043_49510044.02","Elsenstraße (nördl. Heidelberger Straße) (Neukölln, 12435)",394925,5816375
"49510043_49510044.02","Elsenstraße (nördl. Heidelberger Straße) (Neukölln, 12435)",394925,5816425
"38530011_38530012.01","Neue Kantstraße (Ostpreußenbrücke) (Charlottenburg, 14057)",383375,5818725
"38530011_38530012.01","Neue Kantstraße (Ostpreußenbrücke) (Charlottenburg, 14057)",383425,5818725
"38530011_38530012.01","Neue Kantstraße (Ostpreußenbrücke) (Charlottenburg, 14057)",383425,5818775
"38530011_38530012.01","Neue Kantstraße (Ostpreußenbrücke) (Charlottenburg, 14057)",383475,5818775
"43460027_43460001.01","Attilastraße - Kaiser-Wilhelm-Straße (Sieversbrücke) (Steglitz, 12247)",388125,5811525
"43460027_43460001.01","Attilastraße - Kaiser-Wilhelm-Straße (Sieversbrücke) (Steglitz, 12247)",388125,5811575
"43460027_43460001.01","Attilastraße - Kaiser-Wilhelm-Straße (Sieversbrücke) (Steglitz, 12247)",388125,5811625
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401375,5814725
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401675,5814275
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401725,5814275
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401475,5814375
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401475,5814425
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401525,5814325
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401525,5814375
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401575,5814325
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401625,5814275
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401625,5814325
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401425,5814425
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401425,5814475
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401425,5814525
"56490012_56490002.02","Rudolf-Rühl-Allee [ehem. Köpenicker A.] (südl. Verl. Waldowallee) (Köpenick, 12459)",401425,5814575
